reward/env_1,reward/env_0
-2444.8676353089013,
-13059.043596762136,
,-45040.0963540809
,-2897.8502117708026
,-2186.3716995008367
,-3410.1704673785584
-40019.06669860511,
-1678.8547309701703,
,-3411.785444861941
,-2955.740329501477
,-3540.515644780694
-40713.8763193611,
,-3647.3974492151383
-2236.780483672911,
,-3128.288957870654
,-4210.577895618996
,-4334.895939316206
-37993.94982267366,
,-3467.859969196331
,-4533.34652309475
,-4919.698734601421
,-4672.790164722259
,-4116.2593504924025
,-17353.716237076664
,-4025.182889513328
-85043.0452832553,
,-4149.581341693524
,-4278.1940863746895
,-4148.921144995362
-7437.05840836485,
,-4555.912072748776
,-4566.10348710243
,-4339.5443784980735
,-3867.630083267376
,-3940.3858900559544
,-4197.545157196605
-45167.900294427454,
,-3879.1023485827122
,-3953.7542561412774
,-3942.3592412503363
