#{"t_start": 1719556293.007618, "env_id": "None"}
r,l,t
-48324.309059,102,9.591329
-30925.135436,102,12.563185
--53855.888288,102,15.531566--54695.50934,102,18.449105
-53823.541199,102,21.410648
-54702.07627,102,24.647601
--30922.495716,102,27.523443--30883.370189,102,30.695133-53851.769363,102,33.772887
-54721.924996,102,36.814025
-53817.501299,102,40.026523
-54688.660903,102,43.11751
-53-27553.733134,102,46.41629-5-27557.441754,102,49.774101-5-27563.764554,102,53.320392-5-27567.638161,102,56.85055-54102.856037,102,60.637044

