#{"t_start": 1719555237.1414273, "env_id": "None"}
r,l,t--23360.568712,102,11.050317
-22880.323373,102,14.360012
-22865.695435,102,17.678833
-22819.674688,102,21.030083
-22807.397054,102,24.301378
-22808.288412,102,27.774218
-22806.647496,102,31.024622
-22836.205821,102,34.537009
-22833.171734,102,37.964586
-22809.487981,102,41.300005
-22832.664913,102,44.737475
076703
-173979.985688,102,17.367909
-11682.555989,17,17.951004
-11560.364955,17,18.481539
-12110.735303,17,19.039933
-16487.827459,33,20.106418
-537.064563,4,20.264498
-9966.945067,13,20.697446
-13043.844907,16,21.252191
-170020.463985,102,24.586639
-11682.831432,17,25.116617
-11566.634587,17,25.672226
-12126.736606,17,26.226034
-16225.591697,31,27.203999
-1493.158694,5,27.396236
-171400.105107,102,30.723871
-11752.706217,17,31.315858
-11476.877762,17,31.906476
-26814.37783,26,32.809187
-12244.164711,17,33.421351
-17010.805946,32,34.493495
-1404.823886,6,34.695511
-9466.803725,14,35.127307
-11111.112694,16,35.70744
-173995.00084,102,39.106021
-11751.029811,17,39.65928
-11468.760551,17,40.219325
-26766.08112,26,41.035095
-12295.749215,17,41.616906
-16915.726411,32,42.625964
-1241.181781,6,42.861193
-9932.602957,14,43.341455
-11192.306897,16,43.922922
