#{"t_start": 1718624440.7632353, "env_id": "None"}
r,l,t
-188.479055,102,55.935272
-174.574442,102,57.085196
-1376.681317,102,58.315664
-175.512361,102,59.404221
-157.159347,102,60.435288
-136.886839,102,61.516022
-168.526052,102,62.584931
-145.760841,102,63.685127
-147.830992,102,64.84493
-184.370179,102,65.975214
-212.864745,102,67.159163
-181.831721,102,68.363925
-208.456973,102,69.560226
-164.759707,102,70.605255
-198.967389,102,71.699027
-167.797851,102,72.735451
-136.632105,102,73.874817
-738.709182,102,75.06518
-214.51341,102,76.535315
-221.359594,102,77.94715
-155.382227,102,79.330034
-142.27535,102,80.725154
-149.642914,102,82.225577
-156.787984,102,83.635692
-210.007628,102,85.032236
-152.801375,102,86.405785
-166.263688,102,87.925887
-150.975851,102,89.356761
-191.95853,102,90.745305
-146.374981,102,92.200708
-186.155761,102,93.635571
-163.472436,102,95.025329
-179.20444,102,96.450025
-216.546868,102,97.875071
-200.202299,102,99.275471
-211.616678,102,100.70399
-1501-1482.470388,82,191.575214
-4436.497189,80,192.974507
-2175.710624,81,194.395531
-5388.551012,69,195.444815
-4750.041914,81,196.854732
-26576.257865,70,197.935207
-1536.33626,75,199.255069
-6324.882283,80,200.405315
-1916.216282,75,201.794788
-5176.75349,80,203.205319
-1763.836866,74,204.537634
-28030.367815,70,205.793812
-2137.785946,82,207.3548
-28671.697682,70,208.595088
-2214.605385,80,210.801771
-415.434916,14,211.135212
-318.754327,13,211.454554
-3901.522795,42,212.344767
-4089.620981,43,213.18511
-629.888534,18,213.525161
-284.762857,13,213.794844
-243.823602,15,214.12501
-54850.239013,77,215.805349
-203.353727,13,216.105259
-49392.361589,96,218.014772
-3061.608296,44,218.993722
-329.402994,13,219.298847
-439.870453,15,219.625103
-50561.754937,99,221.608546
-32976.158734,66,223.014756
-46721.854724,87,224.765093
-752.110017,21,225.264527
-66998.620843,92,227.064868
-64155.031797,97,228.873701
-54702.425184,92,230.514458
-384.246858,14,230.883671
-35351.471129,82,232.504647
-259.944505,17,232.884805
-403.718224,15,233.223557
-1213.029651,29,233.744824
-68381.37448,91,235.625259
-66577.765628,91,237.498654
-338.057285,13,237.855812
-263.830376,14,238.180321
-338.692569,13,238.480118
-60551.150027,98,240.69928
-264.777287,13,241.039344
-54040.148045,99,243.031034
-294.382503,13,243.340194
-68342.700046,96,245.350485
-35909.51183,84,247.090988
-33090.000737,66,248.59016
-297.405572,13,248.95443
-1397.075611,32,249.801149
-261.485727,13,250.040496
-323.770703,14,397.907123
-3819.872277,43,399.19457
-356.877342,14,399.597027
-33548.288834,67,401.29379
-14420.801629,79,403.555122
-16578.771103,79,405.121673
-56479.80888,79,406.61073
-88788.283484,102,408.901924
-113138.986451,102,411.310376
-57906.180963,79,413.194603
-36670.891153,79,414.992326
-34671.08627,79,416.797677
-95444.624937,102,419.208059
-77666.138225,102,421.550098
-29527.436527,79,423.393078
-84092.757254,102,425.738826
-85501.413688,102,428.233053
-106332.367369,102,430.575169
-139556.601775,102,432.905613
-10597.459854,79,434.7594
-86113.107838,102,437.112107
-63866.456913,79,438.940471
-92374.611634,102,441.264458
-36892.86334,79,443.055144
-44832.726712,79,444.895382
-31982.212443,79,446.764042
-105930.573853,96,450.008995
-3765.095344,54,451.178458
-13078.477329,79,452.816088
-3285.585338,46,453.92849
-9753.124841,81,455.716485
-3784.472879,46,456.752146
-3085.929117,45,457.862055
-15445.675208,79,459.501012
-9055.352441,85,461.457186
-21257.278552,80,463.120145
-3192.082965,52,464.304995
-34438.997898,82,466.070395
-3219.074799,49,467.218149
-15199.689677,80,609.853577
-11978.505081,79,611.627456
-5854.460826,61,613.010864
-24812.718786,79,614.765387
-2991.143157,45,615.817429
-45532.332955,81,617.583742
-5476.774461,87,619.556191
-12664.717337,80,621.211263
-3376.331362,46,622.270437
-42327.940654,79,623.990171
-8413.830917,87,625.956829
-33979.503295,79,627.629541
-39309.627983,79,629.240193
-38599.069488,79,630.848181
-8141.952701,86,632.666235
-43842.332066,80,634.361865
-14068.892115,102,637.613303
-17582.0194,98,639.831093
-6488.548239,72,641.584702
-6636.581663,71,643.312828
-23705.740175,98,645.606832
-14208.427743,102,648.008877
-21155.866792,98,650.239269
-1364.218246,35,651.09881
-1904.26193,69,652.779421
-1825.096102,70,654.510979
-21490.523988,100,656.91783
-827.37642,62,658.421234
-30284.94751,100,660.720882
-3873.190816,73,662.541639
-18946.069969,102,664.863834
-22811.697981,101,667.285601
-8470.134731,71,669.084606
-17828.141707,84,671.174986
-4040.476247,75,673.021012
-19925.711046,99,675.485017
-7113.461372,70,677.286466
-1508.239258,71,819.069197
-19735.25587,101,821.079715
-949.525879,66,822.369132
-19467.772868,98,824.319166
-662.858613,68,826.318203
-19354.592206,63,827.589801
-51938.008067,102,829.679817
-38032.222237,99,831.729635
-46074.466726,96,833.704177
-48797.757273,98,835.569257
-61882.793526,102,837.551864
-50869.766391,88,839.240329
-17866.214529,68,840.55983
-7479.14589,102,842.579045
-51965.337384,102,844.579135
-38459.044291,84,846.259018
-24879.365728,102,848.373804
-46935.427114,102,850.316599
-25423.607529,60,851.489465
-23111.926369,61,852.693546
-37793.500688,78,854.161033
-52470.281147,102,856.139261
-9174.488011,102,858.139734
-59662.883717,102,860.329832
-37056.039897,76,862.132521
-5289.745704,75,863.750085
-52755.60487,102,866.240012
-1230.922572,67,868.459843
-2260.124472,61,869.929634
-1130.135382,35,870.92036
-1251.35709,49,872.109609
-4168.202801,102,874.468186
-1150.004933,32,875.139786
-2579.36613,62,876.619073
-1286.057537,41,877.649474
-5943.370261,96,879.864355
-1088.067005,42,880.833608
-1243.636946,36,881.621548
-1176.347476,36,882.489485
-421.837489,24,883.069055
-965.562365,34,1018.868065
-923.285625,32,1019.689101
-1811.902681,51,1021.00645
-6310.36596,102,1023.677128
-16037.291301,102,1026.326973
-1676.686242,47,1027.635669
-1355.791946,41,1028.769221
-1313.380944,41,1029.812268
-1091.19797,43,1030.901169
-448.628807,22,1031.547297
-3644.640779,102,1034.25641
-3616.892294,59,1035.723054
-1609.312987,41,1036.856328
-1112.738367,31,1037.695365
-1183.762696,33,1038.595768
-1132.099139,41,1039.674716
-871.019058,30,1040.494121
-1020.518368,43,1041.638402
-755.466765,31,1042.504851
-5558.247779,83,1044.74521
-1256.299834,36,1045.673781
-1746.726746,43,1046.808749
-1285.270058,34,1047.673639
-1254.612826,36,1048.651283
-13971.646768,102,1051.289245
-5533.628791,85,1053.424676
-873.639148,33,1054.370123
-405.793756,15,1054.764449
-1149.551082,51,1057.144025
-2474.8678,44,1058.23164
-38604.143826,102,1060.578761
-2198.976893,44,1061.635695
-4333.304079,61,1063.099731
-2437.215072,45,1064.157311
-16183.052851,82,1066.036802
-18392.600745,85,1067.993881
-2442.861194,47,1069.128342
-1153.08548,45,1070.165325
-2185.502853,46,1071.322201
-2294.409608,46,1072.425721
-6627.542909,79,1074.237102
-19972.709801,86,1076.162352
-2275.001955,45,1077.278023
-1824.718345,44,1078.417577
-8284.944903,81,1080.307649
-2879.426411,46,1081.432199
-3087.690963,47,1082.583062
-26478.304203,92,1084.711922
-10720.472985,82,1086.603472
-13845.643552,80,1088.44598
-1754.879518,45,1089.612959
-16726.182055,80,1091.416448
-2132.73305,45,1092.522719
383.665813,65,666.378894
-320.622007,14,666.725293
-405.379436,14,667.064487
-1331.469473,59,668.572144
-280.309337,14,668.919906
-565.218935,34,669.811969
-297.764748,12,670.115022
-278.44127,15,670.488977
-3024.137691,62,672.011792
-3169.829679,64,673.62165
-778.507286,51,674.873624
-1080.616394,54,676.238556
-637.501306,34,677.083436
-1208.310457,56,678.409602
-1122.826072,55,819.709665
-394.220176,30,820.280365
-8764.198793,102,822.339888
-406.835189,22,822.779884
-3667.454139,71,824.113986
-16525.630222,80,826.468703
-21917.997282,93,828.323563
-19625.903392,74,829.853688
-23406.223208,84,831.489604
-1354.508648,25,832.085308
-15808.280557,75,833.550167
-16135.355617,72,834.989648
-21327.680028,82,836.594339
-18634.917735,74,838.059625
-17999.347544,87,839.699564
-16978.161259,75,841.200242
-17628.479921,91,842.950334
-21482.323963,84,844.620356
-14512.193338,76,846.070179
-14766.853592,77,847.730426
-15306.892248,71,849.07143
-14505.055156,77,850.591573
-10198.781043,65,851.839595
-17336.491657,77,853.379583
-16182.285882,77,854.849466
-19135.987391,75,856.299527
-23012.696339,98,858.199718
-16649.897502,75,859.713048
-19845.934899,82,861.699507
-348.557112,13,861.969735
-454.316464,13,862.320387
-14319.378675,75,864.050474
-17775.265807,77,865.859728
-22507.380078,89,868.601695
-34947.604888,66,870.240413
-362.469759,12,870.553569
-287.323642,13,870.949597
-369.578971,13,871.26856
-400.2587,14,871.580384
-816.033742,19,872.029413
-22746.520704,58,873.370124
-362.26715,12,873.650443
-51006.228093,75,875.38695
-340.813984,12,875.687109
-48231.873475,73,877.36344
-381.345261,13,877.740813
-347.432439,12,878.019445
-1775.66114,32,878.73944
-43109.660342,73,880.37948
-344.133792,13,880.670556
-16048.500135,69,882.259659
-334.116707,16,882.654911
-60786.378168,82,1019.719899
-4956.224045,45,1020.816542
-1215.508896,28,1021.58122
-319.74751,13,1021.927424
-917.995049,21,1022.478937
-341.160233,12,1022.776598
-55127.713287,79,1024.781176
-474.123567,18,1025.253975
-392.719668,13,1025.616183
-368.447353,12,1025.947302
-324.67643,13,1026.341795
-775.929389,20,1026.846358
-400.727027,15,1027.240856
-1269.845499,26,1027.965658
-356.187187,12,1028.279944
-339.799601,12,1028.611259
-872.995584,22,1029.211369
-47840.92386,74,1031.136549
-564.637686,20,1031.719618
-396.959662,13,1032.065776
-368.369334,12,1032.36416
-1299.328159,29,1033.136096
-412.067702,13,1033.498029
-56769.104929,79,1035.469739
-292.778858,15,1035.894733
-929.423419,21,1036.461701
-2392.46547,33,1037.342726
-264.845906,12,1037.719898
-1298.508779,24,1038.318131
-2045.726753,37,1039.296537
-1211.750504,27,1040.036385
-381.9468,14,1040.4619
-360.454891,12,1040.777246
-514.969202,18,1041.218021
-905.733649,25,1041.921114
-39606.593125,72,1043.845383
-396.246074,13,1044.2089
-410.487524,13,1044.555598
-862.247403,27,1045.263883
-406.60168,14,1045.673296
-360.572663,12,1045.972975
-50779.705337,75,1047.925651
-337.786114,12,1048.256369
-802.103053,24,1048.922168
-36510.710389,67,1050.57226
-592.120229,17,1051.023562
-728.135609,19,1051.566753
-435.445902,14,1051.94386
-28105.695229,61,1053.470452
-297.195571,14,1053.848868
-11892.298544,102,1057.584421
-25443.507372,98,1059.806076
-21048.706275,102,1062.27976
-16386.890571,102,1064.693174
-24124.223066,79,1066.494796
-17905.079871,102,1068.860134
-28534.83707,83,1070.847533
-41786.264213,102,1073.27429
-40920.069404,102,1075.559239
-5816.458252,69,1077.292845
-8125.280026,70,1079.000034
-21603.694405,102,1081.447109
-5480.415847,69,1083.118533
-27926.192247,102,1085.468062
-19085.650069,73,1087.153471
-22622.724898,97,1089.43869
-25384.450432,80,1091.257937
-49032.630356,102,1093.704653
178.640722,102,882.093638
-165.876887,102,883.449829
-187.248622,102,884.880591
-147.671674,102,886.269881
-143.255425,102,887.669516
-184.553079,102,889.078918
-446.016581,102,890.492884
-177.725334,102,891.980419
-176.526318,102,893.24946
-145.425233,102,894.601432
-207.391948,102,895.88963
-1416.078468,102,897.188573
-187.650196,102,898.510229
-159.259315,102,899.870405
-154.928012,102,901.160915
-206.847356,102,902.4795
-180.710828,102,903.809739
-188.733098,102,905.138879
-175.791532,102,906.440047
-219.32646,102,907.723451
-190.953362,102,909.040112
-233.663044,102,910.308859
-197.226962,102,911.600324
-216.052092,102,913.010101
-155.290152,102,914.297619
-161.588288,102,915.589908
-161.847688,102,916.913445
-182.054098,102,918.215198
-169.404419,102,919.512167
-157.24289,102,920.803275
-211.699214,102,922.109613
-232.297152,102,923.440246
-212.889135,102,924.78961
-166.426376,102,926.157987
-179.117198,102,927.491573
-195.287542,102,928.789495
-196.329314,102,930.109672
-213.951336,102,931.521848
-167.490961,102,932.988785
-184.737321,102,934.359851
-179.778166,102,935.649987
-168.046671,102,936.959507
-165.917513,102,938.240899
-224.624653,102,939.50398
-184.153507,102,940.820728
-155.372325,102,942.119654
-205.37897,102,943.400651
-167.429605,102,944.686447
-197.128295,102,946.008829
-187.888124,102,947.309465
-192.704787,102,948.597941
-185.00211,102,949.90954
-160.626984,102,951.192071
-170.524066,102,952.529413
-169.173408,102,953.820405
-162.416645,102,954.919445
-161.204429,102,955.980297
-183.91153,102,957.079461
-181.771805,102,958.11972
-162.944752,102,959.140077
-193.476196,102,960.420376
-165.138302,102,961.729531
-188.772788,102,963.120244
-222.338084,102,964.580282
-150.127625,102,966.070364
-190.037681,102,967.383897
-193.167504,102,968.829751
-1052.582836,102,970.219501
-205.633589,102,971.479781
-175.941279,102,972.830198
-802.762782,102,974.133492
-160.240003,102,975.453796
-186.402574,102,976.729903
-146.294843,102,978.383673
-226.895686,102,979.896933
-163.928443,102,981.216852
-224.286947,102,982.516567
-194.177589,102,983.906868
-197.677848,102,985.326529
-210.849849,102,986.724543
-161.689794,102,988.021559
-228.079041,102,989.51888
-153.666755,102,990.966554
-140.099402,102,992.326517
-224.102223,102,993.845156
-209.731443,102,995.523835
-181.046115,102,996.82571
-181.381363,102,998.120162
-205.126513,102,999.462136
