#{"t_start": 1718624440.7632353, "env_id": "None"}
r,l,t
-204.682217,102,1000.782509
-235.522134,102,1002.092748
-204.501807,102,1003.596652
-175.767115,102,1005.183694
-219.182818,102,1006.719352
-158.03828,102,1008.141177
-230.638617,102,1009.69754
-163.818818,102,1011.199445
-172.430926,102,1012.642172
-177.90124,102,1089.969765
-192.260844,102,1091.445249
-191.59237,102,1092.817975
-1403.033279,102,1094.171052
-155.79959,102,1095.55596
-190.870788,102,1096.923697
-141.733576,102,1098.326817
-190.156893,102,1099.728804
-1523.765734,102,1101.095774
-200.607764,102,1102.498604
-144.396491,102,1103.883648
-196.360121,102,1105.251797
-209.671132,102,1106.623073
-147.653584,102,1108.022469
-183.858427,102,1109.391541
-184.249341,102,1110.791573
-274.079533,102,1112.16163
-1371.433905,102,1113.560183
-155.172868,102,1114.948599
-163.141254,102,1116.350156
-168.68124,102,1117.733696
-192.626493,102,1119.086338
-199.082687,102,1120.503403
-147.552606,102,1121.874539
-201.562338,102,1123.257446
-201.042352,102,1124.62877
-190.477519,102,1125.978202
