#{"t_start": 1718624213.0704184, "env_id": "None"}
r,l,t
-213.579177,102,44.48309
-187.958902,102,45.502384
-172.754408,102,46.4932
-110.318199,102,47.493172
-109.594326,102,48.493302
-108.361365,102,49.653292
-106.492551,102,50.936319
-102.816513,102,52.103123
-118.607433,102,53.173174
-127.926727,102,54.172921
-108.14186,102,55.162669
-178.301099,102,56.192344
-133.388205,102,57.152581
-174.724298,102,58.122919
-201.0185,102,59.10286
-198.699222,102,60.15171
-1498.986779,102,61.401415
-121.229474,102,62.595173
-259.842202,102,63.711489
-116.917197,102,64.766684
-1308.565154,102,65.762411
-109.708422,102,66.772541
-122.223238,102,67.902764
-111.527963,102,69.116715
-105.700813,102,70.292589
-110.177542,102,71.33243
-182.809726,102,72.3217
-215.470345,102,73.333318
-180.575446,102,74.322528
-117.362178,102,75.362717
-115.672873,102,76.522602
-104.000452,102,77.732342
-122.559988,102,78.902703
-105.414553,102,80.122697
-123.555718,102,81.326643
-149.885116,102,82.502968
-137.725257,102,83.752476
-101.314161,102,84.96561
-110.121357,102,85.983149
-216.482327,102,87.032507
-196.316292,102,88.082511
-117.724056,102,89.013069
-116.6144,102,89.972847
-103.657203,102,90.901435
-140.525315,102,91.786066
-103.805274,102,92.676658
-108.721594,102,93.57311
-120.819835,102,94.472995
